b'id',b'key',b'value',b'type'
b'11080925',b'created_by',b'JOSM',b'regular'
b'11080933',b'created_by',b'JOSM',b'regular'
b'11221598',b'created_by',b'JOSM',b'regular'
b'12084843',b'created_by',b'JOSM',b'regular'
b'12084843',b'is_in',"b'Chester, Cheshire, England, UK'",b'regular'
b'12084843',b'name',b'Dunham on the Hill',b'regular'
b'12084843',b'place',b'village',b'regular'
b'12360259',b'created_by',b'osmeditor2',b'regular'
b'12360428',b'created_by',b'osmeditor2',b'regular'
b'12433646',b'created_by',b'osmeditor2',b'regular'
b'12433662',b'barrier',b'gate',b'regular'
b'12433662',b'created_by',b'osmeditor2',b'regular'
b'12433662',b'foot',b'yes',b'regular'
b'12433686',b'created_by',b'osmeditor2',b'regular'
b'12433751',b'created_by',b'osmeditor2',b'regular'
b'12433961',b'created_by',b'osmeditor2',b'regular'
b'12433972',b'created_by',b'osmeditor2',b'regular'
b'12434061',b'created_by',b'osmeditor2',b'regular'
b'12434062',b'created_by',b'osmeditor2',b'regular'
b'12434067',b'created_by',b'osmeditor2',b'regular'
b'12434126',b'created_by',b'osmeditor2',b'regular'
b'12434131',b'created_by',b'osmeditor2',b'regular'
b'12434143',b'created_by',b'osmeditor2',b'regular'
b'12434150',b'created_by',b'osmeditor2',b'regular'
b'12434152',b'created_by',b'osmeditor2',b'regular'
b'12434159',b'created_by',b'osmeditor2',b'regular'
b'12434289',b'created_by',b'osmeditor2',b'regular'
b'12509383',b'created_by',b'osmeditor2',b'regular'
b'12509384',b'created_by',b'osmeditor2',b'regular'
b'12509390',b'created_by',b'osmeditor2',b'regular'
b'12509391',b'created_by',b'osmeditor2',b'regular'
b'12509398',b'created_by',b'osmeditor2',b'regular'
b'12509401',b'created_by',b'osmeditor2',b'regular'
b'12509413',b'created_by',b'osmeditor2',b'regular'
b'12509414',b'created_by',b'osmeditor2',b'regular'
b'12509415',b'created_by',b'osmeditor2',b'regular'
b'12509416',b'created_by',b'osmeditor2',b'regular'
b'12509417',b'created_by',b'osmeditor2',b'regular'
b'12509421',b'created_by',b'osmeditor2',b'regular'
b'12509862',b'created_by',b'osmeditor2',b'regular'
b'12509931',b'created_by',b'osmeditor2',b'regular'
b'12509939',b'created_by',b'osmeditor2',b'regular'
b'12510010',b'created_by',b'osmeditor2',b'regular'
b'12510028',b'created_by',b'osmeditor2',b'regular'
b'12534706',b'created_by',b'osmeditor2',b'regular'
b'12534707',b'created_by',b'osmeditor2',b'regular'
b'12534708',b'created_by',b'osmeditor2',b'regular'
b'12534712',b'created_by',b'osmeditor2',b'regular'
b'12534713',b'created_by',b'osmeditor2',b'regular'
b'12534714',b'created_by',b'osmeditor2',b'regular'
b'13799458',b'created_by',b'osmeditor2',b'regular'
b'13799459',b'created_by',b'osmeditor2',b'regular'
b'13799460',b'created_by',b'osmeditor2',b'regular'
b'13799461',b'created_by',b'osmeditor2',b'regular'
b'13799462',b'created_by',b'osmeditor2',b'regular'
b'13799463',b'created_by',b'osmeditor2',b'regular'
b'13799465',b'created_by',b'osmeditor2',b'regular'
b'13799496',b'created_by',b'osmeditor2',b'regular'
b'13799522',b'created_by',b'osmeditor2',b'regular'
b'13799551',b'created_by',b'osmeditor2',b'regular'
b'13799578',b'created_by',b'osmeditor2',b'regular'
b'13799580',b'created_by',b'osmeditor2',b'regular'
b'13799582',b'created_by',b'osmeditor2',b'regular'
b'13799590',b'barrier',b'stile',b'regular'
b'13799590',b'foot',b'yes',b'regular'
b'13799592',b'barrier',b'gate',b'regular'
b'13799592',b'foot',b'yes',b'regular'
b'13799597',b'barrier',b'stile',b'regular'
b'13799597',b'foot',b'yes',b'regular'
b'13799598',b'barrier',b'stile',b'regular'
b'13799598',b'foot',b'yes',b'regular'
b'13799600',b'barrier',b'stile',b'regular'
b'13799600',b'foot',b'yes',b'regular'
b'13803292',b'created_by',b'JOSM',b'regular'
b'13803293',b'created_by',b'JOSM',b'regular'
b'13803294',b'created_by',b'JOSM',b'regular'
b'13803295',b'created_by',b'JOSM',b'regular'
b'13803296',b'created_by',b'JOSM',b'regular'
b'13803302',b'created_by',b'JOSM',b'regular'
b'13803303',b'created_by',b'JOSM',b'regular'
b'13803304',b'created_by',b'JOSM',b'regular'
b'13803305',b'created_by',b'JOSM',b'regular'
b'13803306',b'created_by',b'JOSM',b'regular'
b'13803307',b'highway',b'traffic_signals',b'regular'
b'13803333',b'created_by',b'JOSM',b'regular'
b'13871057',b'created_by',b'JOSM',b'regular'
b'13871066',b'created_by',b'JOSM',b'regular'
b'13871067',b'created_by',b'JOSM',b'regular'
b'13871068',b'created_by',b'JOSM',b'regular'
b'13871069',b'created_by',b'JOSM',b'regular'
b'13871071',b'created_by',b'JOSM',b'regular'
b'13871072',b'created_by',b'JOSM',b'regular'
b'13871077',b'created_by',b'JOSM',b'regular'
b'13871081',b'created_by',b'JOSM',b'regular'
b'13871083',b'created_by',b'JOSM',b'regular'
b'13871085',b'created_by',b'JOSM',b'regular'
b'13871090',b'created_by',b'JOSM',b'regular'
b'13871101',b'created_by',b'JOSM',b'regular'
b'13871134',b'created_by',b'JOSM',b'regular'
b'13878787',b'created_by',b'JOSM',b'regular'
b'13878787',b'name',b'Oscroft',b'regular'
b'13878787',b'place',b'village',b'regular'
b'13878791',b'created_by',b'JOSM',b'regular'
b'13878801',b'created_by',b'JOSM',b'regular'
b'13878832',b'highway',b'turning_circle',b'regular'
b'13878836',b'created_by',b'JOSM',b'regular'
b'13878837',b'created_by',b'JOSM',b'regular'
b'13878838',b'created_by',b'JOSM',b'regular'
b'13878867',b'amenity',b'pub',b'regular'
b'13878867',b'name',b'The Golden Lion (closed)',b'regular'
b'13878868',b'amenity',b'pub',b'regular'
b'13878868',b'created_by',b'Potlatch 0.7a',b'regular'
b'13878868',b'name',b'Oak PH',b'regular'
b'13878869',b'created_by',b'JOSM',b'regular'
b'13878869',b'is_in',"b'Chester, Cheshire, England, UK'",b'regular'
b'13878869',b'name',b'Ashton Hayes',b'regular'
b'13878869',b'place',b'village',b'regular'
b'13890687',b'created_by',b'JOSM',b'regular'
b'13890687',b'is_in',"b'Chester, Cheshire, England, UK'",b'regular'
b'13890687',b'name',b'Little Barrow',b'regular'
b'13890687',b'place',b'hamlet',b'regular'
b'13924175',b'name',b'Stamford Bridge',b'regular'
b'13924175',b'place',b'hamlet',b'regular'
b'14075089',b'note',b'former bridge demolished',b'regular'
b'14075093',b'created_by',b'JOSM',b'regular'
b'14075094',b'created_by',b'JOSM',b'regular'
b'14075103',b'created_by',b'JOSM',b'regular'
b'14075104',b'created_by',b'JOSM',b'regular'
b'14208741',b'created_by',b'JOSM',b'regular'
b'14208761',b'created_by',b'JOSM',b'regular'
b'14314735',b'created_by',b'JOSM',b'regular'
b'14328221',b'man_made',b'radio_mast',b'regular'
b'14328985',b'created_by',b'JOSM',b'regular'
b'14328986',b'amenity',b'place_of_worship',b'regular'
b'14328986',b'denomination',b'anglican',b'regular'
b'14328986',b'name',"b""St Peter's Church, Hargrave""",b'regular'
b'14328986',b'religion',b'christian',b'regular'
b'14547386',b'created_by',b'JOSM',b'regular'
b'14547386',b'name',b'Clotton',b'regular'
b'14547386',b'place',b'village',b'regular'
b'14547387',b'created_by',b'JOSM',b'regular'
b'14547387',b'name',b'Duddon',b'regular'
b'14547387',b'place',b'village',b'regular'
b'14644540',b'name',b'Tarporley',b'regular'
b'14644540',b'place',b'village',b'regular'
b'14644548',b'created_by',b'JOSM',b'regular'
b'14644549',b'created_by',b'JOSM',b'regular'
b'14644565',b'created_by',b'JOSM',b'regular'
b'14644566',b'created_by',b'JOSM',b'regular'
b'14644574',b'created_by',b'JOSM',b'regular'
b'14644577',b'created_by',b'JOSM',b'regular'
b'14644578',b'created_by',b'JOSM',b'regular'
b'14644601',b'created_by',b'JOSM',b'regular'
b'14644604',b'created_by',b'JOSM',b'regular'
b'14644605',b'created_by',b'JOSM',b'regular'
b'14644606',b'created_by',b'JOSM',b'regular'
b'14644610',b'created_by',b'JOSM',b'regular'
b'14644611',b'created_by',b'JOSM',b'regular'
b'14644612',b'created_by',b'JOSM',b'regular'
b'14644613',b'created_by',b'JOSM',b'regular'
b'14644614',b'created_by',b'JOSM',b'regular'
b'14644626',b'created_by',b'JOSM',b'regular'
b'14644629',b'created_by',b'JOSM',b'regular'
b'14644630',b'created_by',b'JOSM',b'regular'
b'14644631',b'created_by',b'JOSM',b'regular'
b'14644632',b'created_by',b'JOSM',b'regular'
b'14644633',b'created_by',b'JOSM',b'regular'
b'14644634',b'created_by',b'JOSM',b'regular'
b'14644635',b'created_by',b'JOSM',b'regular'
b'14644636',b'created_by',b'JOSM',b'regular'
b'14644637',b'created_by',b'JOSM',b'regular'
b'14661484',b'created_by',b'JOSM',b'regular'
b'14661489',b'created_by',b'JOSM',b'regular'
b'14661490',b'created_by',b'JOSM',b'regular'
b'14661491',b'created_by',b'JOSM',b'regular'
b'14661500',b'highway',b'turning_circle',b'regular'
b'14661532',b'created_by',b'JOSM',b'regular'
b'14661561',b'created_by',b'JOSM',b'regular'
b'14661567',b'highway',b'turning_circle',b'regular'
b'14661568',b'highway',b'turning_circle',b'regular'
b'14661579',b'highway',b'turning_circle',b'regular'
b'14661581',b'highway',b'turning_circle',b'regular'
b'14661587',b'created_by',b'JOSM',b'regular'
b'14661588',b'highway',b'turning_circle',b'regular'
b'14661601',b'created_by',b'JOSM',b'regular'
b'14661602',b'created_by',b'JOSM',b'regular'
b'14661608',b'created_by',b'JOSM',b'regular'
b'14661612',b'highway',b'turning_circle',b'regular'
b'14694160',b'created_by',b'JOSM',b'regular'
b'14694160',b'is_in',"b'Chester, Cheshire, England, UK'",b'regular'
b'14694160',b'name',b'Kelsall',b'regular'
b'14694160',b'place',b'village',b'regular'
b'14694162',b'created_by',b'JOSM',b'regular'
b'14694162',b'name',b'Willington',b'regular'
b'14694162',b'place',b'village',b'regular'
b'14705513',b'created_by',b'JOSM',b'regular'
b'14705513',b'highway',b'traffic_signals',b'regular'
b'14716396',b'created_by',b'JOSM',b'regular'
b'14716396',b'name',b'Tattenhall',b'regular'
b'14716396',b'place',b'village',b'regular'
b'14733594',b'created_by',b'JOSM',b'regular'
b'14733597',b'created_by',b'JOSM',b'regular'
b'14733599',b'created_by',b'JOSM',b'regular'
b'14733602',b'barrier',b'lift_gate',b'regular'
b'14733602',b'bicycle',b'no',b'regular'
b'14733602',b'foot',b'yes',b'regular'
b'14733604',b'created_by',b'JOSM',b'regular'
b'14733611',b'amenity',b'marketplace',b'regular'
b'14733611',b'name',b'Beeston Market',b'regular'
b'14762329',b'amenity',b'place_of_worship',b'regular'
b'14762329',b'denomination',b'anglican',b'regular'
b'14762329',b'name',"b'St. Bartholomew, Barrow'",b'regular'
b'14762329',b'religion',b'christian',b'regular'
b'14762330',b'amenity',b'pub',b'regular'
b'14762330',b'name',b'The White Horse',b'regular'
b'15009341',b'created_by',b'JOSM',b'regular'
b'15009343',b'created_by',b'JOSM',b'regular'
b'15009344',b'created_by',b'JOSM',b'regular'
b'15009345',b'created_by',b'JOSM',b'regular'
b'15009347',b'created_by',b'JOSM',b'regular'
b'15009348',b'created_by',b'JOSM',b'regular'
b'15009349',b'created_by',b'JOSM',b'regular'
b'15009351',b'highway',b'traffic_signals',b'regular'
b'15009352',b'created_by',b'JOSM',b'regular'
b'15009355',b'created_by',b'JOSM',b'regular'
b'15009356',b'created_by',b'JOSM',b'regular'
b'15242512',b'barrier',b'gate',b'regular'
b'15242512',b'bicycle',b'yes',b'regular'
b'15242512',b'foot',b'yes',b'regular'
b'15242512',b'horse',b'yes',b'regular'
b'15242516',b'barrier',b'gate',b'regular'
b'15242516',b'bicycle',b'yes',b'regular'
b'15242516',b'foot',b'yes',b'regular'
b'15242516',b'horse',b'yes',b'regular'
b'15242517',b'barrier',b'stile',b'regular'
b'15242517',b'foot',b'yes',b'regular'
b'15242520',b'created_by',b'JOSM',b'regular'
b'15242521',b'created_by',b'JOSM',b'regular'
b'15242525',b'created_by',b'JOSM',b'regular'
b'15242526',b'created_by',b'JOSM',b'regular'
b'15242527',b'created_by',b'JOSM',b'regular'
b'15242529',b'created_by',b'JOSM',b'regular'
b'15242531',b'created_by',b'JOSM',b'regular'
b'15242533',b'created_by',b'JOSM',b'regular'
b'15242537',b'created_by',b'JOSM',b'regular'
b'15242548',b'created_by',b'JOSM',b'regular'
b'15242551',b'created_by',b'JOSM',b'regular'
b'15242552',b'created_by',b'JOSM',b'regular'
b'15242553',b'created_by',b'JOSM',b'regular'
b'15242554',b'created_by',b'JOSM',b'regular'
b'15242555',b'created_by',b'JOSM',b'regular'
b'15242556',b'created_by',b'JOSM',b'regular'
b'15242557',b'created_by',b'JOSM',b'regular'
b'15242558',b'created_by',b'JOSM',b'regular'
b'15242559',b'created_by',b'JOSM',b'regular'
b'15242561',b'created_by',b'JOSM',b'regular'
b'15242577',b'created_by',b'JOSM',b'regular'
b'15242599',b'barrier',b'gate',b'regular'
b'15242599',b'foot',b'yes',b'regular'
b'15242601',b'barrier',b'stile',b'regular'
b'15242601',b'foot',b'yes',b'regular'
b'15242603',b'barrier',b'stile',b'regular'
b'15242603',b'foot',b'yes',b'regular'
b'15242606',b'barrier',b'stile',b'regular'
b'15242606',b'foot',b'yes',b'regular'
b'15242608',b'barrier',b'stile',b'regular'
b'15242612',b'created_by',b'JOSM',b'regular'
b'15242614',b'created_by',b'JOSM',b'regular'
b'15242615',b'created_by',b'JOSM',b'regular'
b'15242616',b'created_by',b'JOSM',b'regular'
b'15242617',b'created_by',b'JOSM',b'regular'
b'15242619',b'created_by',b'JOSM',b'regular'
b'15242620',b'created_by',b'JOSM',b'regular'
b'15242621',b'created_by',b'JOSM',b'regular'
b'15242622',b'created_by',b'JOSM',b'regular'
b'15242625',b'created_by',b'JOSM',b'regular'
b'15242626',b'created_by',b'JOSM',b'regular'
b'15242627',b'created_by',b'JOSM',b'regular'
b'15242629',b'barrier',b'stile',b'regular'
b'15242629',b'foot',b'yes',b'regular'
b'15242630',b'created_by',b'JOSM',b'regular'
b'15242631',b'created_by',b'JOSM',b'regular'
b'15242632',b'created_by',b'JOSM',b'regular'
b'15242636',b'created_by',b'JOSM',b'regular'
b'15242637',b'created_by',b'JOSM',b'regular'
b'15242639',b'created_by',b'JOSM',b'regular'
b'15242640',b'created_by',b'JOSM',b'regular'
b'15242641',b'created_by',b'JOSM',b'regular'
b'15242643',b'created_by',b'JOSM',b'regular'
b'15242650',b'created_by',b'JOSM',b'regular'
b'15242651',b'created_by',b'JOSM',b'regular'
b'15242659',b'created_by',b'JOSM',b'regular'
b'15242702',b'created_by',b'JOSM',b'regular'
b'15242703',b'created_by',b'JOSM',b'regular'
b'15255654',b'direction',b'clockwise',b'regular'
b'15255654',b'highway',b'mini_roundabout',b'regular'
b'15255654',b'is_in',"b'Crewe, Cheshire, England, United Kingdom'",b'regular'
b'15255657',b'created_by',b'JOSM',b'regular'
b'15733897',b'created_by',b'JOSM',b'regular'
b'15733911',b'created_by',b'JOSM',b'regular'
b'15733920',b'created_by',b'JOSM',b'regular'
b'15733922',b'created_by',b'JOSM',b'regular'
b'15733929',b'created_by',b'JOSM',b'regular'
b'15733930',b'created_by',b'JOSM',b'regular'
b'15733931',b'created_by',b'JOSM',b'regular'
b'15733947',b'created_by',b'JOSM',b'regular'
b'15733947',b'is_in',"b'Vale Royal, Cheshire, England, UK'",b'regular'
b'15733947',b'name',b'Hatchmere',b'regular'
